15 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 94% LPG | static, -1.88X -0.47Y 9.92Z m/s^2 
15 s | 2C, 88%, 0 UV, 3 Cd, 100% AQI, 94% LPG | static, -1.84X -0.55Y 9.92Z m/s^2 
15 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 94% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
15 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 94% LPG | static, -1.92X -0.51Y 9.88Z m/s^2 
15 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 94% LPG | static, -1.8X -0.47Y 9.92Z m/s^2 
15 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 94% LPG | static, -1.88X -0.55Y 9.88Z m/s^2 
15 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 94% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
15 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 94% LPG | static, -1.92X -0.47Y 9.96Z m/s^2 
16 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 94% LPG | static, -1.84X -0.55Y 9.92Z m/s^2 
16 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 94% LPG | static, -1.88X -0.47Y 9.88Z m/s^2 
16 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 94% LPG | static, -1.92X -0.47Y 9.88Z m/s^2 
16 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 95% LPG | static, -1.8X -0.51Y 9.96Z m/s^2 
16 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.8X -0.55Y 9.92Z m/s^2 
16 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 95% LPG | static, -1.92X -0.47Y 9.96Z m/s^2 
16 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.88X -0.47Y 9.88Z m/s^2 
16 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.88X -0.51Y 9.88Z m/s^2 
17 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.84X -0.51Y 9.92Z m/s^2 
17 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.92X -0.51Y 9.92Z m/s^2 
17 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.88X -0.55Y 9.88Z m/s^2 
17 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.84X -0.51Y 9.92Z m/s^2 
17 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.88X -0.51Y 9.84Z m/s^2 
17 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.9X -0.47Y 9.88Z m/s^2 
17 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
17 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 95% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
18 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 95% LPG | static, -1.88X -0.51Y 9.88Z m/s^2 
18 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.8X -0.51Y 9.88Z m/s^2 
18 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 95% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
18 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
18 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI,95% LPG | static, -1.92X -0.51Y 9.96Z m/s^2 
18 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.88X -0.51Y 9.88Z m/s^2 
18 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.84X -0.51Y 9.92Z m/s^2 
19 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 95% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
19 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.8X -0.47Y 9.88Z m/s^2 
19 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 96% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
19 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 95% LPG | static, -1.88X -0.51Y 9.88Z m/s^2 
19 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.8X -0.51Y 9.84Z m/s^2 
19 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.84X -0.47Y 9.96Z m/s^2 
19 s | 2C, 88%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.92X -0.47Y9.96Z m/s^2 
19 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 96% LPG | static, -1.88X -0.47Y 9.96Z m/s^2 
20 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.88X -0.47Y 9.88Z m/s^2 
20 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.8X -0.47Y 9.96Z m/s^2 
20 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 96% LPG | static, -1.9X -0.47Y 9.88Z m/s^2 
20 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
20 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 96% LPG | static, -1.88X -0.51Y 9.88Z m/s^2 
20 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.92X -0.47Y 9.96Z m/s^2 
20 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 96% LPG | static, -1.88X -0.51Y 10.00Z m/s^2 
20 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.88X -0.51Y 9.96Z m/s^2 
21 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.9X -0.55Y 9.92Z m/s^2 
21 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.88X -0.47Y 9.92Z m/s^2 
21 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.88X -0.47Y 9.92Z m/s^2 
21 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
21 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.88X -0.47Y 9.92Z m/s^2 
21 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.88X -0.47Y 9.88Z m/s^2 
21 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.84X -0.51Y 9.96Z m/s^2 
22 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.92X -0.47Y 9.92Z m/s^2 
22 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.92X -0.51Y 9.92Z m/s^2 
22 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.81X -0.55Y 9.96Z m/s^2 
22 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
22 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.88X -0.51Y 9.84Z m/s^2 
22 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.8X -0.51Y 9.96Z m/s^2 
22 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.92X -0.51Y 9.92Z m/s^2 
22 s | 23C, 87%, 0 UV, 3 Cd, 00% AQI, 96% LPG | static, -1.8X -0.47Y 9.92Z m/s^2 
23 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.92X -0.47Y 9.88Z m/s^2 
23 s | 23C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.92X -0.51Y 9.96Z m/s^2 
23 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI,96% LPG | static, -1.84X -0.51Y 9.92Z m/s^2 
23 s | 24C, 87%, 0 UV, 3 Cd, 00% AQI, 96% LPG | static, -1.84X -0.55Y 9.92Z m/s^2 
23 s | 24C, 87%, 0 UV, 3 Cd, 00% AQI, 96% LPG | static, -1.84X -0.51Y 9.92Z m/s^2 
23 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.8X -0.47Y 9.92Z m/s^2 
23 s | 24C, 87%, 0 UV, 3 Cd, 00% AQI, 96% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
23 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.84X -0.51Y 9.96Z m/s^2 
24 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.8X -0.47Y 9.92Z m/s^2 
24 s | 24C, 87%, 0 UV, 3 Cd, 00% AQI, 96% LPG | static, -1.88X -0.51Y 9.77Z m/s^2 
24 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -2.1X -0.63Y 9.84Z m/s^2 
24 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI,97% LPG | static, -1.88X -0.55Y9.88Z m/s^2 
